model,row,reference,auc_reported,auc_tie_aware,delta_tie_aware,delta_ci_low,delta_ci_high,reported_ci,label_history_effect_excluded_tie_aware
qlora,label_hist_gold,mean_raw,0.6149735315076861,0.6183497913061182,-0.12699175404662522,-0.15360114201256853,-0.09990947452928839,,
qlora,label_hist_sava,mean_raw,0.5579833044894635,0.5630092639723099,-0.18233228138043356,-0.21518496500842618,-0.15055076537783707,,
qlora,mean_bkt_gold,label_hist_gold,0.133549323017408,,0.13017306321897593,0.104586949056485,0.15470447558383693,"[np.float64(0.1077929910352095), np.float64(0.1596258011321163)]",True
qlora,mean_bkt_sava,label_hist_sava,0.1868085106382978,,0.1817825511554515,0.15184999941010652,0.21203046470912135,"[np.float64(0.1560645335883419), np.float64(0.2182886019715227)]",True
zero_shot,label_hist_gold,mean_raw,0.6149735315076861,0.6183497913061182,0.10140842919678306,0.0643522476830831,0.14440499479190944,,
zero_shot,label_hist_sava,mean_raw,0.5579833044894635,0.5630092639723099,0.046067901862974714,0.001400313330124198,0.0931361328011857,,
zero_shot,mean_bkt_gold,label_hist_gold,0.0071861956632393,,0.003809935864807157,-0.011183736842828071,0.01769900456950281,"[np.float64(-0.0085405079329512), np.float64(0.0219234746954242)]",False
zero_shot,mean_bkt_sava,label_hist_sava,0.0174972004479282,,0.012471240965081898,-0.0002614524791026611,0.023958192434573342,"[np.float64(0.0039429440273522), np.float64(0.030393391110357)]",False
