subset,method,n,coverage,agreement_when_judging,agreeing_share,gate_share,gate_with_correct_label
all,sava,1985,0.784382871536524,0.7443802183686576,0.5838790931989924,0.6055415617128463,0.29034941763727123
all,numeric_regex,1985,0.9773299748110831,0.6917525773195876,0.6760705289672544,0.7627204030226701,0.35865257595772787
all,llm_judge_three_way,1985,0.998992443324937,0.7302067574382249,0.7294710327455919,0.7022670025188917,0.3170731707317073
all,llm_judge_binary,1985,1.0,0.7541561712846347,0.7541561712846347,0.6141057934508816,0.2715340442986054
final,sava,515,0.8194174757281554,0.8459715639810427,0.6932038834951456,0.29514563106796116,0.3026315789473684
final,numeric_regex,515,0.9864077669902913,0.8326771653543307,0.8213592233009709,0.3533980582524272,0.35714285714285715
final,llm_judge_three_way,515,0.9980582524271845,0.8093385214007782,0.8077669902912621,0.34757281553398056,0.3854748603351955
final,llm_judge_binary,515,1.0,0.8407766990291262,0.8407766990291262,0.26601941747572816,0.291970802919708
non_final,sava,1470,0.7721088435374149,0.7066079295154185,0.545578231292517,0.7142857142857143,0.2885714285714286
non_final,numeric_regex,1470,0.9741496598639455,0.6417597765363129,0.6251700680272109,0.9061224489795918,0.3588588588588589
non_final,llm_judge_three_way,1470,0.9993197278911564,0.7025187202178352,0.7020408163265306,0.826530612244898,0.3069958847736626
non_final,llm_judge_binary,1470,1.0,0.7238095238095238,0.7238095238095238,0.7360544217687075,0.2689463955637708
