expit_limit,start,ll_val,auc_val,raw,nat_a,nat_b,nat_lambda,nat_p_L,nat_m0,nat_s,nat_g,n_at_bound
8.0,1,0.5807365972538093,0.7595266746891296,"[0.0861105466283149, -0.02797811075996584, 2.243145949970256, -6.436167302580586, 7.9999815311176405, -7.999998083560211, -1.5310347365152417]",1.0899268093795047,-0.11188325143768199,0.9040576768657999,0.0015999729488420406,0.9996646436780113,0.00016432187873565313,0.08714274754371475,2
8.0,2,0.5807366232975008,0.7595305817327479,"[0.08610316893518473, -0.027959044362294905, 1.8333029911722765, -0.8236229611880082, 7.997503306866285, -7.999120223701057, -2.3468432067921783]",1.089918768263633,-0.11180704547400012,0.8621547370925263,0.30499514744107464,0.9996638118389272,0.0001644661452132359,0.04278533905171504,1
8.0,3,0.5807366382438707,0.7595266746891296,"[0.08610640023224943, -0.027976225330292828, 1.600216944639743, -0.2832966295083868, 7.998484807130408, -7.999957279131618, -4.0789219282113764]",1.0899222901206398,-0.11187571561897962,0.8320487039554428,0.4296457494032169,0.9996641415350482,0.00016432858168413547,0.008155555925255149,1
8.0,4,0.5807366380808411,0.7595266746891296,"[0.0861129951694122, -0.027967175563872453, 1.6447951154607279, -0.37219402238417565, 7.99527680719061, -7.999188986487237, -3.427297748812177]",1.0899294781133577,-0.11183954486126058,0.8381863539978542,0.4080109749817522,0.99966306273467,0.0001644548402471448,0.01541204304509681,1
8.0,5,0.5807365972143287,0.7595292793848751,"[0.086108669599876, -0.027968273702879957, 2.24443703240076, -7.997398856952343, 8.0, -7.999988388391159, -1.5295136258663171]",1.089924763557807,-0.11184393398325217,0.9041696035864009,0.0003362232659242624,0.9996646498695336,0.00016432347133750458,0.08725178104311965,2
8.0,6,0.5807365971654935,0.7595266746891296,"[0.0861093500612354, -0.02797196495885141, 2.2445259586123267, -7.999889366699293, 7.999999996706409, -8.0, -1.529401298486731]",1.0899255052097456,-0.11185868746207443,0.9041773084928371,0.00033538722096682365,0.9996646498684295,0.00016432156392857426,0.08725983692670818,3
16.0,1,0.5807336226398974,0.7595292793848749,"[0.08582151167418854, -0.028070300388167435, 1.8754560064144683, -0.9463806990922298, 15.999931612646996, -15.99999733375364, -2.2168059150801236]",1.089611827956668,-0.11225172049504344,0.8670883215899172,0.2796132747993353,0.9999998874571416,5.514237642994442e-08,0.048143201288075865,2
16.0,2,0.5807336226485967,0.7595292793848749,"[0.08582229670927871, -0.02806999222046383, 1.556775400093354, -0.20037280000623142, 15.997647268120438, -15.999944795148522, -6.606499183771905]",1.0896126833405233,-0.1122504887949812,0.8258901568425074,0.45007373022298974,0.9999998871997612,5.5145273609265114e-08,0.0006613682819161163,1
16.0,3,0.5807336226486635,0.7595292793848749,"[0.08582070475459286, -0.028069490556334797, 1.5530372126843985, -0.1935407322112764, 15.998865154063397, -15.99972332569392, -10.867038368444394]",1.0896109487278869,-0.11224848371870044,0.8253519669029464,0.45176528774803376,0.9999998873370552,5.5157487954062735e-08,9.347446692943938e-06,1
16.0,4,0.5807336226480777,0.7595292793848749,"[0.0858213052580592, -0.02807020524558266, 1.553111051483952, -0.19366966014368045, 15.99997398267103, -15.999996037234313, -9.983103847854881]",1.089611603043235,-0.11225134022441312,0.8253626102220604,0.45173335592566616,0.99999988746191,5.5142447923139525e-08,2.26239855218394e-05,2
16.0,5,0.5807336226332451,0.7595292793848749,"[0.08582158705159046, -0.028070302955964414, 2.2453891232173757, -16.0, 15.999945860169657, -16.0, -1.5293502590938612]",1.0896119100887798,-0.1122517307581425,0.9042520675953165,1.12535162055095e-07,0.9999998874587452,5.514222940699655e-08,0.0872634975572083,3
16.0,6,0.5807336226430885,0.7595292793848749,"[0.08582182149100634, -0.028070411048321565, 1.7382006189192831, -0.5765530049286794, 15.999849844253141, -15.999996851626989, -2.746822242673725]",1.0896121655367894,-0.11225216278706668,0.8504583663836879,0.359726132265126,0.9999998874479388,5.514240301555714e-08,0.029530520838806064,2
24.0,1,0.5807336216360949,0.7595292793848749,"[0.08582102775319811, -0.028070190791474728, 1.8814634383280713, -0.9651404291754304, 22.510130954831943, -23.702372156876706, -2.1994782321507573]",1.0896113006707604,-0.11225128245351314,0.8677791295868764,0.2758501766555395,0.9999999998325155,2.491074088048733e-11,0.04890070337683099,0
24.0,2,0.5807336216358117,0.7595292793848749,"[0.0858212971298532, -0.028070281822990956, 1.5538524509383904, -0.1950228547688836, 23.997582058625365, -23.997261789097582, -8.078320537499174]",1.0896115941866475,-0.11225164629281986,0.8254694491484766,0.4513982317043365,0.9999999999621572,1.8548880538724018e-11,0.00015194672851692208,0
24.0,3,0.5807336216358108,0.7595292793848749,"[0.08582133667205494, -0.02807026987304815, 1.5529821928401462, -0.1934317343045997, 23.999532879933106, -24.0, -17.8784103264063]",1.08961163727229,-0.11225159853069223,0.8253440358651352,0.45179228377344377,0.9999999999622311,1.849815926626925e-11,8.427545823286312e-09,2
