pattern,n_turns,share
SAVA=hit | JUDGE=hit,1031,0.5193954659949622
SAVA=abstain | JUDGE=hit,278,0.14005037783375315
SAVA=miss | JUDGE=miss,210,0.10579345088161209
SAVA=miss | JUDGE=hit,188,0.0947103274559194
SAVA=abstain | JUDGE=miss,150,0.07556675062972293
SAVA=hit | JUDGE=miss,128,0.06448362720403022
