stage,size,mean,median
cas_not_equivalent,1095,0.3459925817529837,0.33529201755300164
prose_guard,411,0.020181556394291984,0.01737498678267002
cas_equivalent,333,0.30991449961215034,0.2967079635709524
conclusion_cas_not_equivalent,107,0.33510358031473564,0.3273329930379987
conclusion_cas_equivalent,22,0.2985985933760689,0.29749999521300197
question_guard,14,0.00266679230013064,0.0023539760150015354
symbolic_residue_guard,3,0.5585830076597631,0.5632910178974271
