noise_level,noise,graph,prior,decay,readiness,policy,fraction_mastered
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.004,0.8,prereq_lowest_first_previous,0.14958333333333335
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.004,0.8,filtered_curriculum_index_order,0.525
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.004,0.8,filtered_curriculum_random_topo,0.52375
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.004,0.8,mta,0.5474999999999999
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.004,0.6,greedy_lowest_first,0.0
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.004,0.6,random_unmastered,0.0475
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.004,0.6,fixed_curriculum_no_skip,0.0575
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.004,0.6,prereq_lowest_first_previous,0.1225
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.004,0.6,filtered_curriculum_index_order,0.5158333333333334
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.004,0.6,filtered_curriculum_random_topo,0.52375
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.004,0.6,mta,0.5466666666666666
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.008,1.0,greedy_lowest_first,0.0
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.008,1.0,random_unmastered,0.01583333333333333
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.008,1.0,fixed_curriculum_no_skip,0.0
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.008,1.0,prereq_lowest_first_previous,0.03416666666666666
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.008,1.0,filtered_curriculum_index_order,0.29125
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.008,1.0,filtered_curriculum_random_topo,0.30125
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.008,1.0,mta,0.31041666666666673
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.008,0.8,greedy_lowest_first,0.0
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.008,0.8,random_unmastered,0.0045833333333333325
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.008,0.8,fixed_curriculum_no_skip,0.0
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.008,0.8,prereq_lowest_first_previous,0.04333333333333332
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.008,0.8,filtered_curriculum_index_order,0.29125
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.008,0.8,filtered_curriculum_random_topo,0.29708333333333337
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.008,0.8,mta,0.3066666666666667
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.008,0.6,greedy_lowest_first,0.0
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.008,0.6,random_unmastered,0.002916666666666667
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.008,0.6,fixed_curriculum_no_skip,0.0
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.008,0.6,prereq_lowest_first_previous,0.04166666666666666
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.008,0.6,filtered_curriculum_index_order,0.29125
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.008,0.6,filtered_curriculum_random_topo,0.29333333333333333
sigma_hat_0.061,0.06104859597401423,chains,uniform,0.008,0.6,mta,0.29458333333333336
sigma_hat_0.061,0.06104859597401423,chains,partial,0.0,1.0,greedy_lowest_first,0.9920833333333333
sigma_hat_0.061,0.06104859597401423,chains,partial,0.0,1.0,random_unmastered,0.9729166666666668
sigma_hat_0.061,0.06104859597401423,chains,partial,0.0,1.0,fixed_curriculum_no_skip,0.92375
sigma_hat_0.061,0.06104859597401423,chains,partial,0.0,1.0,prereq_lowest_first_previous,0.985
sigma_hat_0.061,0.06104859597401423,chains,partial,0.0,1.0,filtered_curriculum_index_order,0.9541666666666666
sigma_hat_0.061,0.06104859597401423,chains,partial,0.0,1.0,filtered_curriculum_random_topo,0.9541666666666666
sigma_hat_0.061,0.06104859597401423,chains,partial,0.0,1.0,mta,0.9575
sigma_hat_0.061,0.06104859597401423,chains,partial,0.0,0.8,greedy_lowest_first,0.9883333333333334
sigma_hat_0.061,0.06104859597401423,chains,partial,0.0,0.8,random_unmastered,0.9816666666666666
sigma_hat_0.061,0.06104859597401423,chains,partial,0.0,0.8,fixed_curriculum_no_skip,0.91
sigma_hat_0.061,0.06104859597401423,chains,partial,0.0,0.8,prereq_lowest_first_previous,0.985
sigma_hat_0.061,0.06104859597401423,chains,partial,0.0,0.8,filtered_curriculum_index_order,0.9525
sigma_hat_0.061,0.06104859597401423,chains,partial,0.0,0.8,filtered_curriculum_random_topo,0.95375
sigma_hat_0.061,0.06104859597401423,chains,partial,0.0,0.8,mta,0.9529166666666665
sigma_hat_0.061,0.06104859597401423,chains,partial,0.0,0.6,greedy_lowest_first,0.9525
sigma_hat_0.061,0.06104859597401423,chains,partial,0.0,0.6,random_unmastered,0.9545833333333335
sigma_hat_0.061,0.06104859597401423,chains,partial,0.0,0.6,fixed_curriculum_no_skip,0.8233333333333335
sigma_hat_0.061,0.06104859597401423,chains,partial,0.0,0.6,prereq_lowest_first_previous,0.9825
sigma_hat_0.061,0.06104859597401423,chains,partial,0.0,0.6,filtered_curriculum_index_order,0.9470833333333333
sigma_hat_0.061,0.06104859597401423,chains,partial,0.0,0.6,filtered_curriculum_random_topo,0.9504166666666666
sigma_hat_0.061,0.06104859597401423,chains,partial,0.0,0.6,mta,0.94875
sigma_hat_0.061,0.06104859597401423,chains,partial,0.002,1.0,greedy_lowest_first,0.9629166666666665
sigma_hat_0.061,0.06104859597401423,chains,partial,0.002,1.0,random_unmastered,0.9220833333333333
sigma_hat_0.061,0.06104859597401423,chains,partial,0.002,1.0,fixed_curriculum_no_skip,0.7691666666666666
sigma_hat_0.061,0.06104859597401423,chains,partial,0.002,1.0,prereq_lowest_first_previous,0.9304166666666666
sigma_hat_0.061,0.06104859597401423,chains,partial,0.002,1.0,filtered_curriculum_index_order,0.7545833333333334
sigma_hat_0.061,0.06104859597401423,chains,partial,0.002,1.0,filtered_curriculum_random_topo,0.7579166666666666
sigma_hat_0.061,0.06104859597401423,chains,partial,0.002,1.0,mta,0.7804166666666668
sigma_hat_0.061,0.06104859597401423,chains,partial,0.002,0.8,greedy_lowest_first,0.77375
sigma_hat_0.061,0.06104859597401423,chains,partial,0.002,0.8,random_unmastered,0.76875
sigma_hat_0.061,0.06104859597401423,chains,partial,0.002,0.8,fixed_curriculum_no_skip,0.6466666666666667
sigma_hat_0.061,0.06104859597401423,chains,partial,0.002,0.8,prereq_lowest_first_previous,0.8275
sigma_hat_0.061,0.06104859597401423,chains,partial,0.002,0.8,filtered_curriculum_index_order,0.7520833333333334
sigma_hat_0.061,0.06104859597401423,chains,partial,0.002,0.8,filtered_curriculum_random_topo,0.7533333333333334
sigma_hat_0.061,0.06104859597401423,chains,partial,0.002,0.8,mta,0.7695833333333334
sigma_hat_0.061,0.06104859597401423,chains,partial,0.002,0.6,greedy_lowest_first,0.2045833333333333
sigma_hat_0.061,0.06104859597401423,chains,partial,0.002,0.6,random_unmastered,0.4741666666666666
sigma_hat_0.061,0.06104859597401423,chains,partial,0.002,0.6,fixed_curriculum_no_skip,0.485
sigma_hat_0.061,0.06104859597401423,chains,partial,0.002,0.6,prereq_lowest_first_previous,0.64625
sigma_hat_0.061,0.06104859597401423,chains,partial,0.002,0.6,filtered_curriculum_index_order,0.7454166666666667
sigma_hat_0.061,0.06104859597401423,chains,partial,0.002,0.6,filtered_curriculum_random_topo,0.7508333333333335
sigma_hat_0.061,0.06104859597401423,chains,partial,0.002,0.6,mta,0.7504166666666666
sigma_hat_0.061,0.06104859597401423,chains,partial,0.004,1.0,greedy_lowest_first,0.2333333333333333
sigma_hat_0.061,0.06104859597401423,chains,partial,0.004,1.0,random_unmastered,0.30583333333333335
sigma_hat_0.061,0.06104859597401423,chains,partial,0.004,1.0,fixed_curriculum_no_skip,0.3425
sigma_hat_0.061,0.06104859597401423,chains,partial,0.004,1.0,prereq_lowest_first_previous,0.2679166666666667
sigma_hat_0.061,0.06104859597401423,chains,partial,0.004,1.0,filtered_curriculum_index_order,0.55125
sigma_hat_0.061,0.06104859597401423,chains,partial,0.004,1.0,filtered_curriculum_random_topo,0.5529166666666666
sigma_hat_0.061,0.06104859597401423,chains,partial,0.004,1.0,mta,0.6016666666666666
sigma_hat_0.061,0.06104859597401423,chains,partial,0.004,0.8,greedy_lowest_first,0.03125
sigma_hat_0.061,0.06104859597401423,chains,partial,0.004,0.8,random_unmastered,0.1420833333333333
sigma_hat_0.061,0.06104859597401423,chains,partial,0.004,0.8,fixed_curriculum_no_skip,0.19208333333333336
sigma_hat_0.061,0.06104859597401423,chains,partial,0.004,0.8,prereq_lowest_first_previous,0.16583333333333336
sigma_hat_0.061,0.06104859597401423,chains,partial,0.004,0.8,filtered_curriculum_index_order,0.5420833333333333
sigma_hat_0.061,0.06104859597401423,chains,partial,0.004,0.8,filtered_curriculum_random_topo,0.5504166666666667
sigma_hat_0.061,0.06104859597401423,chains,partial,0.004,0.8,mta,0.5829166666666666
sigma_hat_0.061,0.06104859597401423,chains,partial,0.004,0.6,greedy_lowest_first,0.00125
sigma_hat_0.061,0.06104859597401423,chains,partial,0.004,0.6,random_unmastered,0.06291666666666666
sigma_hat_0.061,0.06104859597401423,chains,partial,0.004,0.6,fixed_curriculum_no_skip,0.11708333333333334
sigma_hat_0.061,0.06104859597401423,chains,partial,0.004,0.6,prereq_lowest_first_previous,0.1395833333333333
sigma_hat_0.061,0.06104859597401423,chains,partial,0.004,0.6,filtered_curriculum_index_order,0.5441666666666667
sigma_hat_0.061,0.06104859597401423,chains,partial,0.004,0.6,filtered_curriculum_random_topo,0.5470833333333333
