system,n_judged_in_sample,weighted_coverage,accuracy_vs_human,ci_low,ci_high
GPT-4o reference label,135,1.0,0.8990649125669778,0.8619088038004546,0.9400975118028301
SAVA,104,0.7866649865966998,0.8455164704698949,0.7975029008031579,0.8923975580833591
Numeric regex,132,0.9811601831547242,0.7542190569360623,0.6995005658840664,0.8083104274679818
LLM judge (binary),135,1.0,0.7990777163259991,0.7588979823295013,0.8390185549938495
LLM judge (three-way),135,1.0,0.8134748320252366,0.7667612596538738,0.8582822841080044
