pattern,population,sample,weight
SAVA=abstain | JUDGE=hit,278,17,16.352941176470587
SAVA=abstain | JUDGE=miss,150,15,10.0
SAVA=hit | JUDGE=hit,1031,62,16.629032258064516
SAVA=hit | JUDGE=miss,128,15,8.533333333333333
SAVA=miss | JUDGE=hit,188,15,12.533333333333333
SAVA=miss | JUDGE=miss,210,15,14.0
