criterion,system_mean,baseline_mean,mean_difference,ci_low,ci_high,wilcoxon_p,n_pairs,n_ties
correctness,4.683333333333334,4.233333333333333,0.45,0.13333333333333333,0.8166666666666667,0.013126991434830274,30,17
relevance,4.633333333333334,4.816666666666666,-0.18333333333333332,-0.48333333333333334,0.05,0.2986139423380392,30,21
clarity,4.566666666666666,4.583333333333333,-0.016666666666666666,-0.2833333333333333,0.21666666666666667,0.8227963331003383,30,16
