dataset,model,seed,n,n_dialogues,accuracy,accuracy_lo,accuracy_hi,auc,auc_lo,auc_hi,f1,f1_lo,f1_hi
mathdial,zero_shot,seed-na,1985,515,52.695214105793454,49.674077906803575,55.43362916753922,51.694136210933515,48.55088439314999,54.78581680235722,2.0855057351407713,0.8474352076046991,3.458227914899106
mathdial,qlora,seed221,1985,515,68.11083123425693,65.93716376582279,70.29880776524944,74.53415453527434,72.31404754089552,76.87485696230594,62.61075014766686,59.59024312523729,65.43706789955438
comta,zero_shot,seed-na,78,19,53.84615384615385,41.172699849170435,67.073973042362,63.71127224785761,47.413199008999904,76.837460815047,43.75,22.216117216117215,61.36800699300697
