n_kcs,turns,tau,gain,decay,readiness,noise,graph,prior,policy,fraction_mastered
12,120,0.8,0.185,0.0,0.6,0.1,chains,uniform,random_unmastered,0.6733333333333335
12,120,0.8,0.185,0.0,0.6,0.1,chains,uniform,fixed_curriculum_no_skip,0.65125
12,120,0.8,0.185,0.0,0.6,0.1,chains,uniform,prereq_lowest_first_previous,0.8920833333333335
12,120,0.8,0.185,0.0,0.6,0.1,chains,uniform,filtered_curriculum_index_order,0.7016666666666665
12,120,0.8,0.185,0.0,0.6,0.1,chains,uniform,filtered_curriculum_random_topo,0.71125
12,120,0.8,0.185,0.0,0.6,0.1,chains,uniform,mta,0.7279166666666668
12,120,0.8,0.185,0.002,1.0,0.0,chains,uniform,greedy_lowest_first,0.9433333333333335
12,120,0.8,0.185,0.002,1.0,0.0,chains,uniform,random_unmastered,0.9404166666666667
12,120,0.8,0.185,0.002,1.0,0.0,chains,uniform,fixed_curriculum_no_skip,0.7045833333333335
12,120,0.8,0.185,0.002,1.0,0.0,chains,uniform,prereq_lowest_first_previous,0.8666666666666666
12,120,0.8,0.185,0.002,1.0,0.0,chains,uniform,filtered_curriculum_index_order,0.9183333333333333
12,120,0.8,0.185,0.002,1.0,0.0,chains,uniform,filtered_curriculum_random_topo,0.9225
12,120,0.8,0.185,0.002,1.0,0.0,chains,uniform,mta,0.9254166666666666
12,120,0.8,0.185,0.002,1.0,0.05,chains,uniform,greedy_lowest_first,0.8516666666666666
12,120,0.8,0.185,0.002,1.0,0.05,chains,uniform,random_unmastered,0.7891666666666666
12,120,0.8,0.185,0.002,1.0,0.05,chains,uniform,fixed_curriculum_no_skip,0.70375
12,120,0.8,0.185,0.002,1.0,0.05,chains,uniform,prereq_lowest_first_previous,0.7620833333333333
12,120,0.8,0.185,0.002,1.0,0.05,chains,uniform,filtered_curriculum_index_order,0.725
12,120,0.8,0.185,0.002,1.0,0.05,chains,uniform,filtered_curriculum_random_topo,0.7220833333333334
12,120,0.8,0.185,0.002,1.0,0.05,chains,uniform,mta,0.7320833333333334
12,120,0.8,0.185,0.002,1.0,0.1,chains,uniform,greedy_lowest_first,0.795
12,120,0.8,0.185,0.002,1.0,0.1,chains,uniform,random_unmastered,0.7225
12,120,0.8,0.185,0.002,1.0,0.1,chains,uniform,fixed_curriculum_no_skip,0.7045833333333333
12,120,0.8,0.185,0.002,1.0,0.1,chains,uniform,prereq_lowest_first_previous,0.7108333333333334
