policy,n_learners,fraction_mastered,ci_low,ci_high,mta_minus_policy,wilcoxon_p_vs_mta
mta,500,0.6133333333333333,0.6051666666666667,0.6211666666666668,0.0,
ablation_no_maintain,500,0.4026666666666666,0.3925,0.4125,0.2106666666666667,1.2542178884558637e-77
ablation_lowest_first,500,0.5591666666666667,0.5505,0.5676666666666667,0.054166666666666655,2.1421503485828875e-19
ablation_no_prerequisites,500,0.5461666666666666,0.538,0.554,0.06716666666666665,5.0851708533475936e-30
