policy,n_learners,fraction_mastered,ci_low,ci_high,mta_minus_policy,wilcoxon_p_vs_mta
greedy_lowest_first,500,0.0,0.0,0.0,0.6133333333333333,3.53098794083882e-85
random_unmastered,500,0.117,0.10816666666666666,0.125,0.49633333333333324,3.7691790477250855e-84
fixed_curriculum_no_skip,500,0.08683333333333335,0.0791625,0.09483333333333333,0.5265,2.2444679478336585e-84
prereq_lowest_first_previous,500,0.2326666666666667,0.22233333333333336,0.2435,0.3806666666666667,3.8283206432611076e-83
filtered_curriculum_index_order,500,0.6121666666666667,0.6044958333333333,0.62,0.0011666666666666665,0.7508563103542206
filtered_curriculum_random_topo,500,0.612,0.6044958333333333,0.6196666666666666,0.0013333333333333305,0.9441085747758144
mta,500,0.6133333333333333,0.6046666666666668,0.6215,0.0,
