dataset,model,seed,threshold,n,accuracy,auc,precision,recall,f1,threshold_fit_on
mathdial,zero_shot,seed-na,0.05,1985,48.81612090680101,51.694136210933515,47.785547785547784,87.2340425531915,61.74698795180723,mathdial
mathdial,qlora,seed221,0.245,1985,64.13098236775818,74.53415453527434,58.532934131736525,83.19148936170212,68.7170474516696,mathdial
comta,zero_shot,seed-na,0.05,78,53.84615384615385,63.71127224785761,53.246753246753244,100.0,69.49152542372882,mathdial
