dataset,model,seed,split,n,accuracy,auc,precision,recall,f1,final_n,final_accuracy,final_auc,final_precision,final_recall,final_f1,official_n,official_accuracy,official_auc,official_precision,official_recall,official_f1,official_final_n,official_final_accuracy,official_final_auc,official_final_precision,official_final_recall,official_final_f1,official_loss
comta,zero_shot,seed-na,test,78,53.84615384615385,63.71127224785761,60.86956521739131,34.146341463414636,43.75,19,52.63157894736842,51.19047619047619,71.42857142857143,41.66666666666667,52.63157894736842,78.0,53.85,63.65,60.87,34.15,43.75,19.0,52.63,51.19,71.43,41.67,52.63,0.7527
comta,zero_shot,seed-na,val,77,44.15584415584416,39.866760168302946,63.63636363636363,15.217391304347828,24.561403508771928,21,38.095238095238095,45.55555555555556,66.66666666666666,26.666666666666668,38.095238095238095,,,,,,,,,,,,,
mathdial,qlora,seed221,test,1985,68.11083123425693,74.53415453527434,70.3851261620186,56.38297872340425,62.61075014766686,515,58.64077669902913,73.49609673962958,89.3719806763285,49.202127659574465,63.464837049742705,1985.0,68.11,74.53,70.39,56.38,62.61,515.0,58.64,73.5,89.37,49.2,63.46,0.6106
mathdial,zero_shot,seed-na,test,1985,52.695214105793454,51.694136210933515,52.63157894736842,1.0638297872340423,2.0855057351407713,515,27.378640776699033,46.009681616409,62.5,1.3297872340425532,2.604166666666667,1985.0,52.7,51.69,52.63,1.06,2.09,515.0,27.38,46.0,62.5,1.33,2.6,1.1254
mathdial,qlora,seed221,val,1755,69.11680911680912,75.76408749693948,70.91172214182345,58.96510228640193,64.38896189224704,415,57.831325301204814,74.48403248458204,89.88095238095238,48.86731391585761,63.312368972746334,,,,,,,,,,,,,
mathdial,zero_shot,seed-na,val,1755,52.42165242165242,50.24985543938612,43.333333333333336,1.5643802647412757,3.019744483159118,415,24.57831325301205,41.713989131098494,33.33333333333333,1.2944983818770228,2.4922118380062304,,,,,,,,,,,,,
